10, 9, 6e-07
20, 19, 7e-07
30, 29, 1.3e-06
40, 39, 1e-06
50, 49, 8e-07
60, 59, 8e-07
70, 69, 1.4e-06
80, 79, 1e-06
100, 99, 1e-06
125, 124, 1.2e-06
150, 149, 1.1e-06
175, 174, 1.6e-06
200, 199, 1.3e-06
250, 249, 1.8e-06
300, 299, 2.1e-06
400, 399, 2.5e-06
500, 499, 3e-06
750, 749, 4.7e-06
1000, 999, 6.5e-06

